,Job Title,Link,Sponsoring Researcher(s),Sponsoring Institution,Fields of Research,Deadline,Projects,Expected Start Date,Field(s) of Research,Fields,Job Description,Sponsoring Researcher,"INFO SESSION: September 26, 2025 1:30pm – 2:30pm ET",Project,Priority Application Deadline,Sponsoring Researchers,First Review Date,Start Date,,Sponsoring researchers,Fields of research,Deadline/First Review Date,Job Number,Visa,Sponsoring Institution(s),Location,McCoy Family Center for Ethics in Society Research AssociateSponsoring Researcher(s),Project Title,Research Scope,Term,Group Specialization,Field of Research,Project Scope,Next review date,Time Period,Note,Job#,Reference #,Sponsoring,Researcher(s),Job #,Application Deadline,Faculty Focus,Priority Consideration Review Date,Deadline/First review date,Sponsoring Institutions,Research Topics,Deadline for applications,.,Application Period,First Review,Sponsoring Researcher(s,Job ID
0,Research Professional,https://bit.ly/3IkBfxO," Christopher Snyder , Michael Kremer "," Dartmouth, Market Shaping Accelerator ","Microeconomics, economics of innovation, industrial organization, public policy,  health economics, climate, market shaping ","First review, Oct 6. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Research Professional – Marianne Bertrand and Chang-Tai Hsieh,https://bit.ly/468yWHd,Marianne Bertrand and Chang-Tai Hsieh ,The Becker Friedman Institute for Economics (BFI) ,,Rolling ,"Projects related to global innovation, China's economic growth, and technological revolution in the US service sector ","July 1, 2026 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pre-Doctoral Research Specialist,https://bit.ly/3IqatUG,Atif Mian ," Princeton University, Julis-Rabinowitz Center for Public Policy & Finance ",,"Rolling review through January 31, 2026 ",,,"Empirical macrofinance, macroeconomics, finance, policy ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Full-Time Research Assistant,https://bit.ly/42CmAEW,David Chan , University of California Berkeley ,,Rolling ,,,,"Health Economics, Applied Microeconomics ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Research Professional,https://bit.ly/4nd6UAy,,"The University of Chicago Booth School of Business, Stigler Center ","Economics, Political Economy, Finance, Public Policy ","October 3rd, 2025 ",,,,,,Luigi Zingales ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pre-Doctoral Fellowship (Profs.Laibson/Choi/Beshears),https://bit.ly/3KocO2W,"Economics professors David Laibson (Harvard University), James Choi (Yale University), and John Beshears (Harvard Business School) ", Harvard University ,"Behavioral economics, decision making, household finance, and health behaviors ",Rolling. Early applications are encouraged. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pre-Doctoral Technical Associate,https://bit.ly/47MWHG6,"Charles Angelucci, Mert Demirer, Namrata Kala, Alexey Makarin, Benjamin Vatter, Catherine Wolfram ",Massachusetts Institute of Technology: Sloan School of Management ,Applied economics ,We will be accepting and reviewing applications on a rolling basis until the position is filled. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Full-Time Senior Research Specialists for AY26-27,https://bit.ly/3Vk1R4R,"Zachary Bleemer , Pauline Carry , Ellora Derenoncourt , Simon Jäger , David Lee , Owen Zidar ","Princeton University, Industrial Relations Section ",,Rolling ,,,"Economics, labor economics ",,,,"For more information, register for a Zoom info session with current research specialists. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Research Assistant (Pre-Doctoral Researcher),https://bit.ly/46GqaQU,"Zhitao Yin, HKUST Business School ", Hong Kong University of Science and Technology ,Data Science and Tech Innovation ,Rolling-basis until position filled. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pre-Doctoral Research Associate (Summer 2026),https://bit.ly/3KqojXC,"The faculty currently hiring include Samuel Antill , Mark Egan , Chinh Quan Le , Maxwell Miller , Jesse Shapiro , and Marco Tabellini . Additional hiring faculty will be listed in the coming months. ", Harvard Business School ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Senior Research Specialists,https://bit.ly/464Wrkr,"Professors Henrik Kleven, Ilyana Kuziemko, and Evan Soltas ", The Princeton Program in Public Finance ,,Rolling ,,,"Income and wealth inequality, entrepreneurship, gender equality, regional economic development, political economy, and the subsidies on the housing market and social insurance policies. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
