,Job Title,Link,Sponsoring Researcher(s),Sponsoring Institution,Fields of Research,Deadline,Visa,Sponsoring Institution(s),Sponsoring Researchers,Sponsoring Researcher,,Location,McCoy Family Center for Ethics in Society Research AssociateSponsoring Researcher(s),Project Title,Start Date,Research Scope,Term,Project,Group Specialization,Field of Research,Project Scope,Fields of research,Fields,Next review date,Time Period,Note,Field(s) of Research,Job#,Reference #,Sponsoring,Researcher(s),Job #,Application Deadline,Faculty Focus,Deadline/First Review Date,Priority Consideration Review Date,Deadline/First review date,Job Description,Sponsoring Institutions,Research Topics,Deadline for applications,.,Application Period,First Review,Sponsoring Researcher(s,Job ID,Institution,Requisition ID,First Review Date,Job Reference ID
0,"Research Assistant, Centre for Economic Performance",https://bit.ly/46CYflt,Professor Sandra McNally ,The Centre for Economic Performance ,"Mobility economics, education ",The closing date for receipt of applications is 24th August 2025 (23.59 UK time). ,Eligibility to work with the confidential administrative data linkage from the UK's Department for Education in a secure data environment in the UK. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Research Associate Fellow,https://bit.ly/3IXz434,Professor Elizabeth Linos ," The People Lab, Harvard Kennedy School ","Behavioral Science, Public Policy, Economics, Statistics ","Applications will be reviewed on a rolling basis with the first review on August 14, 2025. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Staff Associate I,https://bit.ly/40JSGho,Jose Scheinkman and Harrison Hong ,"The Program for Economic Research (PER), Columbia University ",Environmental ,"September 19, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Staff Associate I,https://bit.ly/3AgUsw8,"Michael Best, Haoge Chang, Jonathan Dingel, Gautam Gowrisankaran, Sebastian Otero, Pietro Tebaldi, Tatiana Mocanu and Hugo Lhuillier ","The Program for Economic Research (PER), Columbia University ","Development, Econometrics, Energy, Environmental, Health, Public Economics, Industrial Organization, International Economics, Labor, and Urban ","January 28, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Full-Time Research Associate,https://bit.ly/4l7fnDs,"Kate Orkin (University of Oxford), Rob Garlick (Duke University), Lukas Hensel (Peking University) ",,"Development, labor, applied microeconomics, behavioral science. ",ASAP - Applications accepted on a rolling basis. ,"Right to work in South Africa (citizenship, permanent residency or critical skills visa). Please note that J-PAL Africa cannot sponsor work permits. ", J-PAL Africa and University of Oxford ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Research Professional,https://bit.ly/4feGZoX,"Professors Matthew Denes, Spyros Lagaras, and Margarita Tsoutsoura "," Carnegie Mellon University, University of Illinois Urbana Champaign, and Washington University in St. Louis ","Corporate Finance, Entrepreneurship, US Administrative Tax Data ",Rolling with priority for applications received by August 31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Research Specialist,https://bit.ly/46reOAE,"Coase-Sandor Institute for Law & Economics, Multiple Law School Faculty ","Coase-Sandor Institute for Law & Economics, University of Chicago Law School ",Public Policy ,Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Research Specialist,https://bit.ly/3IFNDbl,,Busara Center for Behavioral Economics and Oxford University ,"Development, labor, applied microeconomics, behavioral science ","August 8, 2025 ",,,"Kate Orkin (University of Oxford), Matthew Ridley (University of Warwick), Alison Andrew (University of Oxford), Nate Barker (Northwestern University), Rob Garlick (Duke University) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Empirical Research Fellows,https://bit.ly/3Ixcdev,,Northwestern University Kellogg School of Management ,"Applied microeconomics, labor economics, industrial organization, innovation, organizational economics ",Rolling (immediate start date) ,,,"Shengmao Cao, Benjamin Friedrich, Ryan Hill, Sara Moreira ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pre-Doctoral Fellowship in Applied Microeconomics,https://bit.ly/3UfXp6y,,University of Michigan ,"Labor, Education, Innovation ","August 8, with rolling review thereafter ",,,"Francesca Truffa (Michigan), Menaka Hampole (Yale), Ashley Wong (Barnard) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Predoctoral Research Fellow, Climate and Nature Finance",https://bit.ly/4eSbfpo,,Geneva Graduate Institute - Hoffmann Centre for Global Sustainability ,"Climate Finance, Environmental, Economics ","First review July 20, rolling review thereafter ",,,,Beatrice Weder di Mauro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Staff Associate - Decision, Risk, and Operations",https://bit.ly/3GupeoA,"Decision, Risk, and Operations (DRO) Division ",Columbia Business School ,"Operations Research, Operations Management, Economics, Statistics ",December 2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Staff Associate - Digital Future Initiative,https://bit.ly/4lbUEz4,"DFI and Decision, Risk, and Operations (DRO) Division ",Columbia Business School ,"Economics, Statistics ","August 8, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
